ts,chain,address,symbol,binance_symbol,binance_base_asset,binance_match_type,label,pump_score,dump_score,anomaly_score,smart_money_score,risk_score,reasons
2026-04-23T09:03:07+00:00,base,0x311935Cd80B76769bF2ecC9D8Ab7635b2139cf82,SOL,SOLUSDT,SOL,base_asset,anomaly_watch,5.61,0.28,100.0,0.0,0.0,normal_watch;ml_isolation_forest_anomaly
2026-04-23T09:03:07+00:00,base,0x1aA8fD5BCce2231C6100d55Bf8B377cff33Acfc3,RAVE,RAVEUSDT,RAVE,base_asset,anomaly_watch,12.42,8.64,93.82,0.0,0.0,normal_watch;ml_isolation_forest_anomaly
2026-04-23T09:03:07+00:00,base,0xFbC2051AE2265686a469421b2C5A2D5462FbF5eB,OPG,OPGUSDT,OPG,base_asset,anomaly_watch,15.01,0.0,74.59,0.0,0.0,normal_watch;ml_isolation_forest_anomaly
2026-04-23T09:03:07+00:00,base,0x0C1c1C109FE34733fca54b82d7B46B75CFb71F6e,CHIP,CHIPUSDT,CHIP,base_asset,watch,10.4,0.9,64.21,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USDCUSDT,USDC,base_asset,watch,12.36,0.0,47.74,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,solana,7uLGeKYasTxW9GpdgT2N8BY4YMv48KYRRMK1ujCUgL9o,XRP,XRPUSDT,XRP,base_asset,watch,0.0,0.19,46.71,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0x68749665FF8D2d112Fa859AA293F07A622782F38,XAUT,XAUTUSDT,XAUT,base_asset,watch,9.85,0.38,43.31,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0x437cc33344a0B27A429f795ff6B469C72698B291,WM,MUSDT,M,wrapped_prefix,watch,0.0,0.0,38.74,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0x989cFDC3508500d0C91f22896a0D2ee1Ef675870,TRX,TRXUSDT,TRX,base_asset,watch,0.0,0.01,38.12,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,solana,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,USDCUSDT,USDC,base_asset,watch,6.66,0.87,28.72,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,ETHUSDT,ETH,wrapped_alias,watch,12.74,0.23,27.2,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,ETH,ETHUSDT,ETH,base_asset,watch,6.58,0.49,25.46,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0x940181a94A35A4569E4529A3CDfB74e38FD98631,AERO,AEROUSDT,AERO,base_asset,watch,1.71,0.42,24.89,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,VIRTUAL,VIRTUALUSDT,VIRTUAL,base_asset,watch,5.69,0.08,23.13,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,solana,So11111111111111111111111111111111111111112,SOL,SOLUSDT,SOL,base_asset,watch,8.17,0.54,20.12,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,BTCUSDT,BTC,wrapped_alias,watch,4.58,0.52,19.87,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0xacfE6019Ed1A7Dc6f7B508C02d1b04ec88cC21bf,VVV,VVVUSDT,VVV,base_asset,watch,3.9,0.69,19.1,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USDC,USDCUSDT,USDC,base_asset,watch,6.56,0.03,18.55,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0x45804880De22913dAFE09f4980848ECE6EcbAf78,PAXG,PAXGUSDT,PAXG,base_asset,watch,5.66,0.58,18.12,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0x0000000000000000000000000000000000000000,ETH,ETHUSDT,ETH,base_asset,watch,5.27,0.87,17.33,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0xf43eB8De897Fbc7F2502483B2Bef7Bb9EA179229,ZEN,ZENUSDT,ZEN,base_asset,watch,6.3,0.02,13.94,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,ethereum,0x0000000000000000000000000000000000000000,ETH,ETHUSDT,ETH,base_asset,watch,8.84,0.49,12.97,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,base,0x4200000000000000000000000000000000000006,WETH,ETHUSDT,ETH,wrapped_alias,watch,6.59,0.59,8.1,0.0,0.0,normal_watch
2026-04-23T09:03:07+00:00,solana,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,TRUMPUSDT,TRUMP,base_asset,watch,6.06,0.84,7.88,0.0,0.0,normal_watch
